Date Time,Rainfall (mm)  #20102572,Coupler Detached,Coupler Attached,Host Connected,End Of File
05/08/24 12:28:51.0,0.000,,,,
05/08/24 12:29:01.0,,Logged,,,
05/12/24 16:54:51.0,0.254,,,,
05/12/24 16:56:57.0,0.508,,,,
05/12/24 17:04:22.0,0.762,,,,
05/12/24 17:07:32.0,1.016,,,,
05/12/24 17:13:27.0,1.270,,,,
05/12/24 17:20:21.0,1.524,,,,
05/12/24 17:30:59.0,1.778,,,,
05/12/24 17:31:52.0,2.032,,,,
05/12/24 17:33:39.0,2.286,,,,
05/12/24 17:34:33.0,2.540,,,,
05/12/24 17:35:14.0,2.794,,,,
05/12/24 17:37:00.0,3.048,,,,
05/12/24 17:49:19.0,3.302,,,,
05/12/24 18:01:54.0,3.556,,,,
05/12/24 18:06:51.0,3.810,,,,
05/12/24 18:15:53.0,4.064,,,,
05/12/24 18:31:35.0,4.318,,,,
05/12/24 19:14:27.0,4.572,,,,
05/13/24 02:02:05.0,4.826,,,,
05/13/24 02:03:08.0,5.080,,,,
05/13/24 02:03:35.0,5.334,,,,
05/13/24 02:04:07.0,5.588,,,,
05/13/24 02:04:43.0,5.842,,,,
05/13/24 02:05:33.0,6.096,,,,
05/13/24 02:06:36.0,6.350,,,,
05/13/24 02:10:03.0,6.604,,,,
05/13/24 03:27:42.0,6.858,,,,
05/13/24 03:30:04.0,7.112,,,,
05/13/24 03:31:07.0,7.366,,,,
05/13/24 03:31:27.0,7.620,,,,
05/13/24 03:31:50.0,7.874,,,,
05/13/24 03:32:18.0,8.128,,,,
05/13/24 03:32:43.0,8.382,,,,
05/13/24 03:33:14.0,8.636,,,,
05/13/24 03:33:56.0,8.890,,,,
05/13/24 03:34:35.0,9.144,,,,
05/13/24 03:35:52.0,9.398,,,,
05/13/24 03:36:58.0,9.652,,,,
05/13/24 03:37:15.0,9.906,,,,
05/13/24 03:37:34.0,10.160,,,,
05/13/24 03:37:57.0,10.414,,,,
05/13/24 03:38:34.0,10.668,,,,
05/13/24 03:39:32.0,10.922,,,,
05/13/24 03:40:26.0,11.176,,,,
05/13/24 03:41:04.0,11.430,,,,
05/13/24 03:41:48.0,11.684,,,,
05/13/24 03:42:32.0,11.938,,,,
05/13/24 03:43:40.0,12.192,,,,
05/13/24 03:44:46.0,12.446,,,,
05/13/24 03:45:11.0,12.700,,,,
05/13/24 03:45:29.0,12.954,,,,
05/13/24 03:45:43.0,13.208,,,,
05/13/24 03:46:00.0,13.462,,,,
05/13/24 03:46:15.0,13.716,,,,
05/13/24 03:46:30.0,13.970,,,,
05/13/24 03:46:53.0,14.224,,,,
05/13/24 03:47:31.0,14.478,,,,
05/13/24 03:49:00.0,14.732,,,,
05/13/24 03:51:13.0,14.986,,,,
05/13/24 03:52:49.0,15.240,,,,
05/13/24 03:54:16.0,15.494,,,,
05/13/24 03:54:59.0,15.748,,,,
05/13/24 03:55:18.0,16.002,,,,
05/13/24 03:55:50.0,16.256,,,,
05/13/24 03:58:04.0,16.510,,,,
05/13/24 03:58:53.0,16.764,,,,
05/13/24 03:59:30.0,17.018,,,,
05/13/24 04:00:08.0,17.272,,,,
05/13/24 04:01:47.0,17.526,,,,
05/13/24 04:03:42.0,17.780,,,,
05/13/24 04:05:58.0,18.034,,,,
05/13/24 04:23:02.0,18.288,,,,
05/13/24 04:33:52.0,18.542,,,,
05/13/24 04:36:42.0,18.796,,,,
05/13/24 04:42:27.0,19.050,,,,
05/13/24 04:43:07.0,19.304,,,,
05/13/24 04:43:36.0,19.558,,,,
05/13/24 04:43:58.0,19.812,,,,
05/13/24 04:44:18.0,20.066,,,,
05/13/24 04:44:39.0,20.320,,,,
05/13/24 04:45:02.0,20.574,,,,
05/13/24 04:45:20.0,20.828,,,,
05/13/24 04:45:38.0,21.082,,,,
05/13/24 04:45:53.0,21.336,,,,
05/13/24 04:46:05.0,21.590,,,,
05/13/24 04:46:17.0,21.844,,,,
05/13/24 04:46:31.0,22.098,,,,
05/13/24 04:46:45.0,22.352,,,,
05/13/24 04:47:00.0,22.606,,,,
05/13/24 04:47:14.0,22.860,,,,
05/13/24 04:47:27.0,23.114,,,,
05/13/24 04:47:40.0,23.368,,,,
05/13/24 04:47:53.0,23.622,,,,
05/13/24 04:48:05.0,23.876,,,,
05/13/24 04:48:18.0,24.130,,,,
05/13/24 04:48:31.0,24.384,,,,
05/13/24 04:48:42.0,24.638,,,,
05/13/24 04:48:54.0,24.892,,,,
05/13/24 04:49:06.0,25.146,,,,
05/13/24 04:49:17.0,25.400,,,,
05/13/24 04:49:28.0,25.654,,,,
05/13/24 04:49:38.0,25.908,,,,
05/13/24 04:49:49.0,26.162,,,,
05/13/24 04:50:01.0,26.416,,,,
05/13/24 04:50:11.0,26.670,,,,
05/13/24 04:50:21.0,26.924,,,,
05/13/24 04:50:29.0,27.178,,,,
05/13/24 04:50:39.0,27.432,,,,
05/13/24 04:50:47.0,27.686,,,,
05/13/24 04:50:56.0,27.940,,,,
05/13/24 04:51:06.0,28.194,,,,
05/13/24 04:51:17.0,28.448,,,,
05/13/24 04:51:30.0,28.702,,,,
05/13/24 04:51:43.0,28.956,,,,
05/13/24 04:51:55.0,29.210,,,,
05/13/24 04:52:06.0,29.464,,,,
05/13/24 04:52:18.0,29.718,,,,
05/13/24 04:52:28.0,29.972,,,,
05/13/24 04:52:38.0,30.226,,,,
05/13/24 04:52:48.0,30.480,,,,
05/13/24 04:52:58.0,30.734,,,,
05/13/24 04:53:07.0,30.988,,,,
05/13/24 04:53:15.0,31.242,,,,
05/13/24 04:53:23.0,31.496,,,,
05/13/24 04:53:32.0,31.750,,,,
05/13/24 04:53:41.0,32.004,,,,
05/13/24 04:53:52.0,32.258,,,,
05/13/24 04:54:01.0,32.512,,,,
05/13/24 04:54:11.0,32.766,,,,
05/13/24 04:54:19.0,33.020,,,,
05/13/24 04:54:27.0,33.274,,,,
05/13/24 04:54:36.0,33.528,,,,
05/13/24 04:54:44.0,33.782,,,,
05/13/24 04:54:53.0,34.036,,,,
05/13/24 04:55:02.0,34.290,,,,
05/13/24 04:55:12.0,34.544,,,,
05/13/24 04:55:22.0,34.798,,,,
05/13/24 04:55:31.0,35.052,,,,
05/13/24 04:55:39.0,35.306,,,,
05/13/24 04:55:47.0,35.560,,,,
05/13/24 04:55:54.0,35.814,,,,
05/13/24 04:56:02.0,36.068,,,,
05/13/24 04:56:11.0,36.322,,,,
05/13/24 04:56:21.0,36.576,,,,
05/13/24 04:56:31.0,36.830,,,,
05/13/24 04:56:44.0,37.084,,,,
05/13/24 04:57:04.0,37.338,,,,
05/13/24 04:57:25.0,37.592,,,,
05/13/24 04:57:46.0,37.846,,,,
05/13/24 04:58:10.0,38.100,,,,
05/13/24 04:58:37.0,38.354,,,,
05/13/24 04:58:59.0,38.608,,,,
05/13/24 04:59:25.0,38.862,,,,
05/13/24 04:59:49.0,39.116,,,,
05/13/24 05:00:16.0,39.370,,,,
05/13/24 05:00:45.0,39.624,,,,
05/13/24 05:01:17.0,39.878,,,,
05/13/24 05:01:54.0,40.132,,,,
05/13/24 05:02:38.0,40.386,,,,
05/13/24 05:03:36.0,40.640,,,,
05/13/24 05:04:32.0,40.894,,,,
05/13/24 05:05:29.0,41.148,,,,
05/13/24 05:06:22.0,41.402,,,,
05/13/24 05:07:13.0,41.656,,,,
05/13/24 05:08:02.0,41.910,,,,
05/13/24 05:08:44.0,42.164,,,,
05/13/24 05:09:29.0,42.418,,,,
05/13/24 05:09:54.0,42.672,,,,
05/13/24 05:10:16.0,42.926,,,,
05/13/24 05:10:32.0,43.180,,,,
05/13/24 05:10:49.0,43.434,,,,
05/13/24 05:11:14.0,43.688,,,,
05/13/24 05:11:38.0,43.942,,,,
05/13/24 05:12:09.0,44.196,,,,
05/13/24 05:12:43.0,44.450,,,,
05/13/24 05:13:16.0,44.704,,,,
05/13/24 05:13:46.0,44.958,,,,
05/13/24 05:14:06.0,45.212,,,,
05/13/24 05:14:23.0,45.466,,,,
05/13/24 05:14:42.0,45.720,,,,
05/13/24 05:14:59.0,45.974,,,,
05/13/24 05:15:18.0,46.228,,,,
05/13/24 05:15:38.0,46.482,,,,
05/13/24 05:15:57.0,46.736,,,,
05/13/24 05:16:14.0,46.990,,,,
05/13/24 05:16:30.0,47.244,,,,
05/13/24 05:16:58.0,47.498,,,,
05/13/24 05:17:24.0,47.752,,,,
05/13/24 05:17:41.0,48.006,,,,
05/13/24 05:17:56.0,48.260,,,,
05/13/24 05:18:10.0,48.514,,,,
05/13/24 05:18:24.0,48.768,,,,
05/13/24 05:18:38.0,49.022,,,,
05/13/24 05:18:52.0,49.276,,,,
05/13/24 05:19:08.0,49.530,,,,
05/13/24 05:19:26.0,49.784,,,,
05/13/24 05:19:47.0,50.038,,,,
05/13/24 05:20:05.0,50.292,,,,
05/13/24 05:20:22.0,50.546,,,,
05/13/24 05:20:39.0,50.800,,,,
05/13/24 05:20:58.0,51.054,,,,
05/13/24 05:21:17.0,51.308,,,,
05/13/24 05:21:36.0,51.562,,,,
05/13/24 05:21:58.0,51.816,,,,
05/13/24 05:22:22.0,52.070,,,,
05/13/24 05:22:44.0,52.324,,,,
05/13/24 05:23:08.0,52.578,,,,
05/13/24 05:23:34.0,52.832,,,,
05/13/24 05:24:01.0,53.086,,,,
05/13/24 05:24:29.0,53.340,,,,
05/13/24 05:24:56.0,53.594,,,,
05/13/24 05:25:24.0,53.848,,,,
05/13/24 05:25:50.0,54.102,,,,
05/13/24 05:26:14.0,54.356,,,,
05/13/24 05:26:37.0,54.610,,,,
05/13/24 05:26:58.0,54.864,,,,
05/13/24 05:27:18.0,55.118,,,,
05/13/24 05:27:38.0,55.372,,,,
05/13/24 05:27:59.0,55.626,,,,
05/13/24 05:28:25.0,55.880,,,,
05/13/24 05:28:46.0,56.134,,,,
05/13/24 05:29:06.0,56.388,,,,
05/13/24 05:29:23.0,56.642,,,,
05/13/24 05:29:44.0,56.896,,,,
05/13/24 05:30:03.0,57.150,,,,
05/13/24 05:30:22.0,57.404,,,,
05/13/24 05:30:44.0,57.658,,,,
05/13/24 05:31:08.0,57.912,,,,
05/13/24 05:31:43.0,58.166,,,,
05/13/24 05:32:19.0,58.420,,,,
05/13/24 05:32:54.0,58.674,,,,
05/13/24 05:33:33.0,58.928,,,,
05/13/24 05:34:08.0,59.182,,,,
05/13/24 05:34:49.0,59.436,,,,
05/13/24 05:35:27.0,59.690,,,,
05/13/24 05:36:09.0,59.944,,,,
05/13/24 05:36:54.0,60.198,,,,
05/13/24 05:37:34.0,60.452,,,,
05/13/24 05:38:13.0,60.706,,,,
05/13/24 05:38:59.0,60.960,,,,
05/13/24 05:39:41.0,61.214,,,,
05/13/24 05:40:32.0,61.468,,,,
05/13/24 05:41:23.0,61.722,,,,
05/13/24 05:42:22.0,61.976,,,,
05/13/24 05:43:30.0,62.230,,,,
05/13/24 05:44:47.0,62.484,,,,
05/13/24 05:46:15.0,62.738,,,,
05/13/24 05:47:43.0,62.992,,,,
05/13/24 05:49:34.0,63.246,,,,
05/13/24 05:51:14.0,63.500,,,,
05/13/24 05:53:04.0,63.754,,,,
05/13/24 05:54:39.0,64.008,,,,
05/13/24 05:56:26.0,64.262,,,,
05/13/24 05:58:00.0,64.516,,,,
05/13/24 05:59:46.0,64.770,,,,
05/13/24 06:01:31.0,65.024,,,,
05/13/24 06:03:11.0,65.278,,,,
05/13/24 06:05:19.0,65.532,,,,
05/13/24 06:07:14.0,65.786,,,,
05/13/24 06:08:40.0,66.040,,,,
05/13/24 06:09:41.0,66.294,,,,
05/13/24 06:10:40.0,66.548,,,,
05/13/24 06:11:53.0,66.802,,,,
05/13/24 06:13:00.0,67.056,,,,
05/13/24 06:13:54.0,67.310,,,,
05/13/24 06:15:08.0,67.564,,,,
05/13/24 06:17:10.0,67.818,,,,
05/13/24 06:18:15.0,68.072,,,,
05/13/24 06:19:08.0,68.326,,,,
05/13/24 06:20:13.0,68.580,,,,
05/13/24 06:21:10.0,68.834,,,,
05/13/24 06:22:03.0,69.088,,,,
05/13/24 06:23:00.0,69.342,,,,
05/13/24 06:23:57.0,69.596,,,,
05/13/24 06:24:49.0,69.850,,,,
05/13/24 06:25:33.0,70.104,,,,
05/13/24 06:26:29.0,70.358,,,,
05/13/24 06:27:28.0,70.612,,,,
05/13/24 06:28:14.0,70.866,,,,
05/13/24 06:28:57.0,71.120,,,,
05/13/24 06:30:08.0,71.374,,,,
05/13/24 06:31:26.0,71.628,,,,
05/13/24 06:34:02.0,71.882,,,,
05/13/24 06:36:35.0,72.136,,,,
05/13/24 06:38:32.0,72.390,,,,
05/13/24 06:40:32.0,72.644,,,,
05/13/24 06:43:37.0,72.898,,,,
05/13/24 06:46:47.0,73.152,,,,
05/13/24 06:48:54.0,73.406,,,,
05/13/24 06:50:58.0,73.660,,,,
05/13/24 06:53:44.0,73.914,,,,
05/13/24 06:56:04.0,74.168,,,,
05/13/24 06:59:46.0,74.422,,,,
05/13/24 07:06:23.0,74.676,,,,
05/13/24 07:10:03.0,74.930,,,,
05/13/24 07:13:18.0,75.184,,,,
05/13/24 07:16:41.0,75.438,,,,
05/13/24 07:19:10.0,75.692,,,,
05/13/24 07:22:06.0,75.946,,,,
05/13/24 07:25:26.0,76.200,,,,
05/13/24 07:27:32.0,76.454,,,,
05/13/24 07:28:48.0,76.708,,,,
05/13/24 07:29:34.0,76.962,,,,
05/13/24 07:30:22.0,77.216,,,,
05/13/24 07:31:18.0,77.470,,,,
05/13/24 07:31:59.0,77.724,,,,
05/13/24 07:32:38.0,77.978,,,,
05/13/24 07:33:19.0,78.232,,,,
05/13/24 07:33:58.0,78.486,,,,
05/13/24 07:34:37.0,78.740,,,,
05/13/24 07:35:17.0,78.994,,,,
05/13/24 07:35:49.0,79.248,,,,
05/13/24 07:36:16.0,79.502,,,,
05/13/24 07:36:43.0,79.756,,,,
05/13/24 07:37:12.0,80.010,,,,
05/13/24 07:37:40.0,80.264,,,,
05/13/24 07:38:08.0,80.518,,,,
05/13/24 07:38:48.0,80.772,,,,
05/13/24 07:39:17.0,81.026,,,,
05/13/24 07:39:43.0,81.280,,,,
05/13/24 07:40:07.0,81.534,,,,
05/13/24 07:40:33.0,81.788,,,,
05/13/24 07:41:10.0,82.042,,,,
05/13/24 07:42:53.0,82.296,,,,
05/13/24 07:45:21.0,82.550,,,,
05/13/24 07:47:19.0,82.804,,,,
05/13/24 07:48:31.0,83.058,,,,
05/13/24 07:49:08.0,83.312,,,,
05/13/24 07:49:47.0,83.566,,,,
05/13/24 07:50:25.0,83.820,,,,
05/13/24 07:51:02.0,84.074,,,,
05/13/24 07:52:00.0,84.328,,,,
05/13/24 07:53:02.0,84.582,,,,
05/13/24 07:54:40.0,84.836,,,,
05/13/24 07:56:12.0,85.090,,,,
05/13/24 07:57:31.0,85.344,,,,
05/13/24 07:58:50.0,85.598,,,,
05/13/24 08:00:07.0,85.852,,,,
05/13/24 08:01:57.0,86.106,,,,
05/13/24 08:03:54.0,86.360,,,,
05/13/24 08:05:46.0,86.614,,,,
05/13/24 08:07:26.0,86.868,,,,
05/13/24 08:09:03.0,87.122,,,,
05/13/24 08:10:12.0,87.376,,,,
05/13/24 08:11:00.0,87.630,,,,
05/13/24 08:11:46.0,87.884,,,,
05/13/24 08:12:46.0,88.138,,,,
05/13/24 08:13:51.0,88.392,,,,
05/13/24 08:15:17.0,88.646,,,,
05/13/24 08:17:01.0,88.900,,,,
05/13/24 08:18:59.0,89.154,,,,
05/13/24 08:21:27.0,89.408,,,,
05/13/24 08:23:21.0,89.662,,,,
05/13/24 08:24:26.0,89.916,,,,
05/13/24 08:25:31.0,90.170,,,,
05/13/24 08:26:43.0,90.424,,,,
05/13/24 08:27:47.0,90.678,,,,
05/13/24 08:29:10.0,90.932,,,,
05/13/24 08:30:55.0,91.186,,,,
05/13/24 08:33:01.0,91.440,,,,
05/13/24 08:35:28.0,91.694,,,,
05/13/24 08:38:03.0,91.948,,,,
05/13/24 08:42:04.0,92.202,,,,
05/13/24 08:49:00.0,92.456,,,,
05/13/24 08:59:31.0,92.710,,,,
05/13/24 09:06:29.0,92.964,,,,
05/13/24 09:51:46.0,93.218,,,,
05/13/24 13:14:33.0,93.472,,,,
05/13/24 13:17:55.0,93.726,,,,
05/13/24 13:19:03.0,93.980,,,,
05/13/24 13:20:19.0,94.234,,,,
05/13/24 13:21:12.0,94.488,,,,
05/13/24 13:22:12.0,94.742,,,,
05/13/24 13:23:22.0,94.996,,,,
05/13/24 13:24:01.0,95.250,,,,
05/13/24 13:24:48.0,95.504,,,,
05/13/24 13:25:27.0,95.758,,,,
05/13/24 13:25:56.0,96.012,,,,
05/13/24 13:26:20.0,96.266,,,,
05/13/24 13:26:40.0,96.520,,,,
05/13/24 13:26:59.0,96.774,,,,
05/13/24 13:27:16.0,97.028,,,,
05/13/24 13:27:32.0,97.282,,,,
05/13/24 13:27:47.0,97.536,,,,
05/13/24 13:28:03.0,97.790,,,,
05/13/24 13:28:22.0,98.044,,,,
05/13/24 13:28:50.0,98.298,,,,
05/13/24 13:29:26.0,98.552,,,,
05/13/24 13:30:31.0,98.806,,,,
05/13/24 13:31:27.0,99.060,,,,
05/13/24 13:31:50.0,99.314,,,,
05/13/24 13:32:11.0,99.568,,,,
05/13/24 13:32:34.0,99.822,,,,
05/13/24 13:32:53.0,100.076,,,,
05/13/24 13:33:15.0,100.330,,,,
05/13/24 13:33:48.0,100.584,,,,
05/13/24 13:34:39.0,100.838,,,,
05/13/24 13:36:38.0,101.092,,,,
05/13/24 13:37:46.0,101.346,,,,
05/13/24 13:39:35.0,101.600,,,,
05/13/24 13:40:49.0,101.854,,,,
05/13/24 13:41:40.0,102.108,,,,
05/13/24 13:55:30.0,102.362,,,,
05/13/24 14:00:11.0,102.616,,,,
05/13/24 14:02:39.0,102.870,,,,
05/13/24 14:09:03.0,103.124,,,,
05/13/24 14:22:39.0,103.378,,,,
05/13/24 15:57:23.0,103.632,,,,
05/13/24 16:00:38.0,103.886,,,,
05/14/24 01:19:02.0,104.140,,,,
05/14/24 01:21:58.0,104.394,,,,
05/14/24 01:24:37.0,104.648,,,,
05/14/24 01:42:15.0,104.902,,,,
05/14/24 05:14:48.0,105.156,,,,
05/14/24 05:16:24.0,105.410,,,,
05/14/24 05:17:27.0,105.664,,,,
05/14/24 05:18:25.0,105.918,,,,
05/14/24 05:20:59.0,106.172,,,,
05/14/24 05:22:38.0,106.426,,,,
05/14/24 05:23:29.0,106.680,,,,
05/14/24 05:26:04.0,106.934,,,,
05/14/24 05:29:46.0,107.188,,,,
05/14/24 06:08:54.0,107.442,,,,
05/14/24 07:52:39.0,107.696,,,,
05/14/24 07:55:11.0,107.950,,,,
05/14/24 07:57:47.0,108.204,,,,
05/14/24 08:01:09.0,108.458,,,,
05/14/24 08:04:30.0,108.712,,,,
05/14/24 08:07:34.0,108.966,,,,
05/14/24 08:12:40.0,109.220,,,,
05/14/24 08:16:02.0,109.474,,,,
05/14/24 08:20:05.0,109.728,,,,
05/14/24 08:25:15.0,109.982,,,,
05/14/24 08:28:34.0,110.236,,,,
05/14/24 08:33:28.0,110.490,,,,
05/14/24 08:37:25.0,110.744,,,,
05/14/24 08:41:49.0,110.998,,,,
05/14/24 08:47:05.0,111.252,,,,
05/14/24 08:51:18.0,111.506,,,,
05/14/24 08:54:18.0,111.760,,,,
05/14/24 09:02:57.0,112.014,,,,
05/14/24 09:06:40.0,112.268,,,,
05/14/24 09:11:27.0,112.522,,,,
05/14/24 09:19:05.0,112.776,,,,
05/14/24 09:29:46.0,113.030,,,,
05/14/24 09:35:45.0,113.284,,,,
05/14/24 09:37:48.0,113.538,,,,
05/14/24 09:39:49.0,113.792,,,,
05/14/24 09:42:47.0,114.046,,,,
05/14/24 09:45:33.0,114.300,,,,
05/14/24 09:48:34.0,114.554,,,,
05/14/24 09:56:37.0,114.808,,,,
05/14/24 10:45:26.0,115.062,,,,
05/14/24 11:01:28.0,115.316,,,,
05/14/24 11:06:49.0,115.570,,,,
05/14/24 11:20:03.0,115.824,,,,
06/03/24 09:17:24.0,116.078,,,,
06/03/24 09:17:46.0,116.332,,,,
06/03/24 09:18:24.0,116.586,,,,
06/03/24 09:19:00.0,116.840,,,,
06/03/24 09:51:03.0,117.094,,,,
06/03/24 10:17:54.0,117.348,,,,
06/03/24 10:29:25.0,117.602,,,,
06/03/24 10:30:03.0,117.856,,,,
06/03/24 10:30:46.0,118.110,,,,
06/03/24 21:29:48.0,118.364,,,,
06/03/24 21:30:32.0,118.618,,,,
06/03/24 21:32:30.0,118.872,,,,
06/03/24 21:34:06.0,119.126,,,,
06/03/24 21:35:13.0,119.380,,,,
06/03/24 21:36:17.0,119.634,,,,
06/03/24 21:36:52.0,119.888,,,,
06/03/24 21:37:14.0,120.142,,,,
06/03/24 21:37:33.0,120.396,,,,
06/03/24 21:37:53.0,120.650,,,,
06/03/24 21:38:09.0,120.904,,,,
06/03/24 21:38:36.0,121.158,,,,
06/03/24 21:39:20.0,121.412,,,,
06/03/24 21:40:41.0,121.666,,,,
06/03/24 22:31:59.0,121.920,,,,
06/03/24 22:33:05.0,122.174,,,,
06/03/24 22:33:30.0,122.428,,,,
06/03/24 22:33:51.0,122.682,,,,
06/03/24 22:34:21.0,122.936,,,,
06/03/24 22:34:45.0,123.190,,,,
06/03/24 22:35:08.0,123.444,,,,
06/03/24 22:35:27.0,123.698,,,,
06/03/24 22:35:46.0,123.952,,,,
06/03/24 22:36:02.0,124.206,,,,
06/03/24 22:36:15.0,124.460,,,,
06/03/24 22:36:24.0,124.714,,,,
06/03/24 22:36:39.0,124.968,,,,
06/03/24 22:36:59.0,125.222,,,,
06/03/24 22:37:32.0,125.476,,,,
06/03/24 22:37:46.0,125.730,,,,
06/03/24 22:37:59.0,125.984,,,,
06/03/24 22:38:12.0,126.238,,,,
06/03/24 22:38:27.0,126.492,,,,
06/03/24 22:38:38.0,126.746,,,,
06/03/24 22:38:58.0,127.000,,,,
06/03/24 22:39:13.0,127.254,,,,
06/03/24 22:39:29.0,127.508,,,,
06/03/24 22:39:40.0,127.762,,,,
06/03/24 22:39:54.0,128.016,,,,
06/03/24 22:40:05.0,128.270,,,,
06/03/24 22:40:15.0,128.524,,,,
06/03/24 22:40:22.0,128.778,,,,
06/03/24 22:40:28.0,129.032,,,,
06/03/24 22:40:34.0,129.286,,,,
06/03/24 22:40:40.0,129.540,,,,
06/03/24 22:40:46.0,129.794,,,,
06/03/24 22:40:51.0,130.048,,,,
06/03/24 22:40:56.0,130.302,,,,
06/03/24 22:41:03.0,130.556,,,,
06/03/24 22:41:11.0,130.810,,,,
06/03/24 22:41:18.0,131.064,,,,
06/03/24 22:41:24.0,131.318,,,,
06/03/24 22:41:30.0,131.572,,,,
06/03/24 22:41:37.0,131.826,,,,
06/03/24 22:41:44.0,132.080,,,,
06/03/24 22:41:49.0,132.334,,,,
06/03/24 22:41:55.0,132.588,,,,
06/03/24 22:42:00.0,132.842,,,,
06/03/24 22:42:05.0,133.096,,,,
06/03/24 22:42:09.0,133.350,,,,
06/03/24 22:42:14.0,133.604,,,,
06/03/24 22:42:19.0,133.858,,,,
06/03/24 22:42:26.0,134.112,,,,
06/03/24 22:42:32.0,134.366,,,,
06/03/24 22:42:40.0,134.620,,,,
06/03/24 22:42:46.0,134.874,,,,
06/03/24 22:42:52.0,135.128,,,,
06/03/24 22:42:58.0,135.382,,,,
06/03/24 22:43:05.0,135.636,,,,
06/03/24 22:43:11.0,135.890,,,,
06/03/24 22:43:16.0,136.144,,,,
06/03/24 22:43:23.0,136.398,,,,
06/03/24 22:43:30.0,136.652,,,,
06/03/24 22:43:38.0,136.906,,,,
06/03/24 22:43:48.0,137.160,,,,
06/03/24 22:43:56.0,137.414,,,,
06/03/24 22:44:02.0,137.668,,,,
06/03/24 22:44:08.0,137.922,,,,
06/03/24 22:44:15.0,138.176,,,,
06/03/24 22:44:21.0,138.430,,,,
06/03/24 22:44:26.0,138.684,,,,
06/03/24 22:44:32.0,138.938,,,,
06/03/24 22:44:37.0,139.192,,,,
06/03/24 22:44:44.0,139.446,,,,
06/03/24 22:44:50.0,139.700,,,,
06/03/24 22:44:55.0,139.954,,,,
06/03/24 22:45:01.0,140.208,,,,
06/03/24 22:45:06.0,140.462,,,,
06/03/24 22:45:11.0,140.716,,,,
06/03/24 22:45:15.0,140.970,,,,
06/03/24 22:45:21.0,141.224,,,,
06/03/24 22:45:28.0,141.478,,,,
06/03/24 22:45:39.0,141.732,,,,
06/03/24 22:45:50.0,141.986,,,,
06/03/24 22:45:57.0,142.240,,,,
06/03/24 22:46:03.0,142.494,,,,
06/03/24 22:46:09.0,142.748,,,,
06/03/24 22:46:17.0,143.002,,,,
06/03/24 22:46:23.0,143.256,,,,
06/03/24 22:46:29.0,143.510,,,,
06/03/24 22:46:41.0,143.764,,,,
06/03/24 22:46:53.0,144.018,,,,
06/03/24 22:47:09.0,144.272,,,,
06/03/24 22:47:24.0,144.526,,,,
06/03/24 22:47:41.0,144.780,,,,
06/03/24 22:47:54.0,145.034,,,,
06/03/24 22:48:16.0,145.288,,,,
06/03/24 22:49:19.0,145.542,,,,
06/03/24 22:50:28.0,145.796,,,,
06/03/24 22:50:52.0,146.050,,,,
06/03/24 22:51:13.0,146.304,,,,
06/03/24 22:51:43.0,146.558,,,,
06/03/24 22:52:36.0,146.812,,,,
06/03/24 23:01:03.0,147.066,,,,
06/08/24 10:10:24.0,147.320,,,,
06/08/24 10:18:34.0,147.574,,,,
06/08/24 10:20:30.0,147.828,,,,
06/08/24 10:23:44.0,148.082,,,,
06/08/24 10:26:45.0,148.336,,,,
06/08/24 10:28:05.0,148.590,,,,
06/08/24 10:53:33.0,148.844,,,,
06/08/24 11:02:14.0,149.098,,,,
06/08/24 11:08:25.0,149.352,,,,
06/13/24 11:21:47.0,,,Logged,,
06/13/24 11:21:56.0,,,,Logged,
06/13/24 11:22:12.0,149.352,,,,Logged
